gen,idx,total_index,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M,cost
0,32,33,3.647617e-07,2,7,6.416535e-06,9.276851e-06,9,5.629847e-06,4.641273e-05,1,9,1.851299e-07,9.462815e-06,6,5,1.148058,3.598389e-07,3,6,6.69936e-06,nil,0.01725085,nil,nil,nil,nil,1e+12,1e+12,3e+12
0,33,34,2.899179e-07,2,6,6.868959e-06,9.174622e-06,8,5.598532e-06,3.963009e-05,1,7,4.807869e-07,7.397376e-06,6,2,1.158636,3.389342e-07,1,9,8.113194e-06,1.736559e+09,0.006501465,1.930052,0.9650259,-99.5926,-122.4736,-176.2563,-179.1373,0.4989971
0,34,35,4.445529e-07,5,7,9.213793e-06,8.939862e-06,7,8.84316e-06,4.34509e-05,1,3,4.415464e-07,7.699586e-06,8,1,1.119264,4.727691e-07,5,8,5.173049e-06,3.189005e+09,0.006789294,1.494295,0.7471474,-93.86234,-119.2659,-175.6172,-181.0208,0.1219286
0,35,36,3.200038e-07,2,8,6.887355e-06,8.798859e-06,9,7.640961e-06,4.335706e-05,1,6,3.325082e-07,5.016308e-06,7,2,0.9721513,2.452064e-07,2,6,9.86201e-06,1.827139e+09,0.00839367,1.927647,0.9638237,-99.46777,-123.0134,-175.4637,-179.0094,0.4745535
0,36,37,4.464048e-07,2,6,8.249238e-06,9.358402e-06,7,8.854653e-06,4.384536e-05,1,8,2.845862e-07,8.303227e-06,6,3,0.8990566,3.534147e-07,2,6,5.350565e-06,1.269392e+09,0.008316406,1.999559,0.9997794,-100.006,-123.3264,-172.8785,-176.1989,0.6599079
0,37,38,1.91121e-07,3,8,7.556706e-06,7.995377e-06,10,9.416693e-06,3.18549e-05,1,1,2.518282e-07,5.7079e-06,9,3,0.8902201,3.482147e-07,3,5,6.483008e-06,7.725231e+09,0.0164019,1.49246,0.7462301,-92.53474,-117.2664,-178.144,-182.8757,0.6748122
0,38,39,2.184559e-07,4,5,7.235034e-06,6.547065e-06,3,5.270676e-06,4.2813e-05,1,5,4.53869e-07,9.000116e-06,7,3,0.9319889,4.894815e-07,1,7,9.252342e-06,2.44452e+09,0.009618782,2.00657,1.003285,-98.45274,-120.7753,-176.3854,-178.708,0.3651701
0,39,40,2.259119e-07,3,9,6.839688e-06,8.402927e-06,8,9.62082e-06,4.984371e-05,1,4,1.847737e-07,7.959365e-06,7,4,1.026936,4.741608e-07,5,9,9.866939e-06,nil,nil,nil,nil,nil,nil,1e+12,1e+12,4e+12
0,40,41,3.763996e-07,3,7,7.347947e-06,6.666678e-06,9,9.606219e-06,4.475511e-05,1,10,2.144265e-07,8.339051e-06,6,4,1.002714,3.346834e-07,2,7,7.037749e-06,nil,0.01681618,nil,nil,nil,nil,1e+12,1e+12,3e+12
0,41,42,2.821951e-07,4,9,6.671388e-06,6.091661e-06,3,9.989816e-06,4.667489e-05,1,10,3.83887e-07,5.622534e-06,8,2,0.9835186,1.97408e-07,3,7,9.878219e-06,9.948919e+08,0.01162105,2.100561,1.050281,-95.47905,-120.8079,-164.7821,-170.1109,0.8217243
