cornerNo,proc,VDD,TEMP,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M
47,sf,1.62,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.077475e+09,0.005732082,1.351751,0.6758755,-90.67929,-115.6022,-177.2091,-182.132
48,sf,1.62,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.100237e+09,0.005795116,1.284141,0.6420704,-89.82794,-114.7726,-176.3491,-181.2938
49,sf,1.62,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.133191e+09,0.00587787,1.183646,0.5918232,-88.51452,-113.4426,-175.0301,-179.9581
50,sf,1.62,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.143831e+09,0.005902046,1.150187,0.5750936,-88.17493,-113.0507,-174.6906,-179.5664
51,sf,1.8,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.942881e+09,0.009629176,1.660189,0.8300947,-93.38764,-118.3631,-177.4314,-182.4068
52,sf,1.8,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.98169e+09,0.009439188,1.54591,0.7729551,-91.82523,-116.9939,-176.0234,-181.1921
53,sf,1.8,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.006155e+09,0.009334595,1.472623,0.7363115,-90.86479,-116.1152,-175.1539,-180.4044
54,sf,1.8,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.0433e+09,0.009187417,1.363263,0.6816317,-89.48061,-114.7734,-173.903,-179.1958
55,sf,1.8,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.055464e+09,0.009140189,1.326967,0.6634835,-89.10604,-114.3612,-173.5717,-178.8269
56,sf,1.98,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.867858e+09,0.01483711,1.858321,0.9291604,-94.46966,-119.562,-176.5029,-181.5953
57,sf,1.98,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.906172e+09,0.01418641,1.736381,0.8681904,-92.82951,-118.1623,-175.1256,-180.4584
58,sf,1.98,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.931314e+09,0.01382258,1.657541,0.8287705,-91.74175,-117.1611,-174.1951,-179.6145
59,sf,1.98,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.97105e+09,0.01332743,1.538944,0.769472,-90.32827,-116.0562,-173.0098,-178.7377
60,sf,1.98,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.984357e+09,0.01317217,1.499523,0.7497615,-89.88816,-115.4531,-172.6438,-178.2087
61,fs,1.62,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.026077e+09,0.005270858,1.395726,0.6978629,-91.17021,-116.3322,-177.976,-183.138
62,fs,1.62,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.064558e+09,0.005422436,1.283464,0.6417318,-89.89306,-115.1136,-176.6419,-181.8625
63,fs,1.62,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.086363e+09,0.005512026,1.213335,0.6066677,-89.10605,-114.3144,-175.8211,-181.0294
64,fs,1.62,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.116935e+09,0.005633114,1.111697,0.5558484,-87.89654,-113.0423,-174.5692,-179.715
65,fs,1.62,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.126377e+09,0.005671308,1.078589,0.5392946,-87.5608,-112.6308,-174.2202,-179.2902
66,fs,1.8,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.924492e+09,0.009165496,1.602562,0.8012808,-92.644,-117.9578,-176.8697,-182.1835
67,fs,1.8,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.963357e+09,0.009059315,1.483452,0.741726,-90.93087,-116.301,-175.2754,-180.6456
68,fs,1.8,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.98711e+09,0.009003636,1.407862,0.703931,-90.21542,-115.7547,-174.6282,-180.1675
69,fs,1.8,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.022208e+09,0.008923398,1.296955,0.6484777,-88.85907,-114.4348,-173.3717,-178.9474
70,fs,1.8,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,5.033504e+09,0.008895471,1.260659,0.6303296,-88.60409,-114.0817,-173.1498,-178.6275
71,fs,1.98,-40,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.846331e+09,0.01429812,1.804395,0.9021974,-93.85996,-119.2676,-176.0154,-181.4231
72,fs,1.98,0.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.884483e+09,0.01378065,1.678706,0.8393529,-92.2416,-117.8884,-174.6253,-180.2721
73,fs,1.98,27.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.908762e+09,0.01348976,1.598027,0.7990136,-91.26017,-117.0648,-173.7796,-179.5842
74,fs,1.98,70.0,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.946617e+09,0.01309427,1.478206,0.7391028,-89.72385,-115.5883,-172.4392,-178.3036
75,fs,1.98,85,4.424827e-07,5,7,8.284082e-06,8.176807e-06,6,7.459653e-06,3.652205e-05,1,2,4.514351e-07,6.663901e-06,7,2,0.9766148,4.305266e-07,3,8,9.641256e-06,4.959085e+09,0.01297102,1.438706,0.7193531,-89.41424,-115.2266,-172.1925,-178.0049
