gen,idx,total_index,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M,cost
23,15,1216,3.856493e-07,1,6,6.36265e-06,7.777535e-06,5,6.480022e-06,3.797578e-05,1,3,2.871337e-07,5.828009e-06,7,1,0.8399639,3.259672e-07,2,7,7.351662e-06,5.161182e+09,0.003360997,1.441088,0.7205438,-76.71649,-104.8446,-165.7068,-173.8349,0.0001439141
23,16,1217,4.139873e-07,1,6,6.192734e-06,7.400846e-06,5,6.669437e-06,3.531639e-05,1,3,1.8e-07,5.580542e-06,7,1,0.7996648,2.34544e-07,3,8,6.780123e-06,5.230796e+09,0.002823169,1.221347,0.6106733,-71.89885,-100.2878,-161.7628,-170.1518,0.0006577321
23,17,1218,3.580014e-07,1,5,5.563657e-06,7.413221e-06,5,6.759821e-06,3.342768e-05,1,3,1.8e-07,6.32555e-06,8,1,0.7861645,2.354944e-07,2,6,7.116975e-06,5.967227e+09,0.002252739,1.16969,0.5848452,-71.17543,-99.67862,-163.1638,-171.667,0.1321999
23,18,1219,3.550399e-07,1,6,6.274229e-06,7.474299e-06,5,6.503218e-06,3.799181e-05,1,3,2.925457e-07,6.689608e-06,7,1,0.8702031,2.8503e-07,3,6,7.332957e-06,4.885766e+09,0.003992153,1.515068,0.7575342,-78.636,-106.7483,-166.4026,-174.5149,0.0001093511
23,19,1220,3.896961e-07,1,6,6.261618e-06,8.184561e-06,7,6.620714e-06,3.41689e-05,1,3,2.936536e-07,5.890329e-06,7,1,0.8998284,2.559066e-07,2,7,7.283067e-06,4.982818e+09,0.003844226,1.424506,0.7122529,-83.00401,-110.5789,-171.1054,-178.6803,0.0
23,20,1221,3.454425e-07,1,7,6.282433e-06,7.445069e-06,6,6.971615e-06,3.244876e-05,1,3,2.709772e-07,7.019353e-06,6,2,0.8671773,2.002893e-07,2,5,6.473802e-06,5.368985e+09,0.004968539,1.653025,0.8265125,-83.63732,-111.2214,-171.2729,-178.8569,0.01318913
23,21,1222,3.326858e-07,1,5,6.630182e-06,8.767023e-06,7,6.687951e-06,3.46828e-05,1,3,3.280685e-07,6.892156e-06,6,1,0.8821345,3.034716e-07,3,5,7.086296e-06,4.760895e+09,0.003577272,1.320777,0.6603884,-79.60306,-107.7381,-167.6213,-175.7563,0.0008059269
23,22,1223,3.878702e-07,1,7,5.869115e-06,7.048617e-06,5,6.696334e-06,3.392787e-05,1,3,1.8e-07,6.741579e-06,6,1,0.818877,2.58382e-07,3,6,7.193714e-06,5.463384e+09,0.003563854,1.411082,0.7055408,-73.22058,-101.6142,-162.4506,-170.8443,0.005076814
23,23,1224,3.893561e-07,1,8,5.726977e-06,7.078934e-06,5,6.589678e-06,4.249508e-05,1,3,1.8e-07,6.502177e-06,8,2,0.7954705,3.122693e-07,3,8,7.058079e-06,4.292433e+09,0.003631179,1.323895,0.6619476,-72.30848,-100.7714,-159.3621,-167.825,0.01537431
23,24,1225,3.816622e-07,1,6,5.913084e-06,7.744821e-06,5,6.301677e-06,3.754984e-05,1,3,1.878795e-07,6.022719e-06,7,2,0.8254523,2.709983e-07,3,6,7.222037e-06,4.945707e+09,0.003303248,1.31677,0.6583849,-72.16778,-100.6504,-160.8629,-169.3455,0.0
