cornerNo,proc,VDD,TEMP,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M
42,ff,1.98,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,4.995162e+09,0.01782728,1.754872,0.8774361,-97.58163,-121.464,-179.0418,-182.9242
43,ff,1.98,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,4.999231e+09,0.01704967,1.659449,0.8297244,-97.62341,-121.362,-179.2843,-183.0229
44,ff,1.98,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.005703e+09,0.01598622,1.502899,0.7514495,-96.17521,-119.6187,-178.1271,-181.5706
45,ff,1.98,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.008008e+09,0.01565532,1.447379,0.7236895,-95.82123,-119.1814,-177.8679,-181.2281
46,sf,1.62,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.102473e+09,0.005984549,1.394015,0.6970076,-96.10024,-120.2041,-182.4855,-186.5894
47,sf,1.62,0.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.113059e+09,0.005881853,1.248466,0.6242332,-94.70162,-118.7813,-181.1801,-185.2598
48,sf,1.62,27.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.119311e+09,0.005814843,1.14682,0.5734099,-93.89966,-117.865,-180.4385,-184.4038
49,sf,1.62,70.0,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.126713e+09,0.005708339,0.9832176,0.4916088,-93.00101,-116.5397,-179.6327,-183.1714
50,sf,1.62,85,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.128409e+09,0.005670198,0.9260385,0.4630193,-92.63631,-115.9929,-179.3,-182.6566
51,sf,1.8,-40,5e-07,3,10,1e-05,9.929905e-06,10,8.684287e-06,3e-05,1,2,2.688119e-07,5e-06,9,5,0.75,4.115354e-07,1,6,6.093249e-06,5.068072e+09,0.009423942,1.556965,0.7784823,-95.355,-120.2052,-179.7095,-184.5597
