gen,idx,total_index,L5,NF5,NM5,W5,LCAP,NMCAP,WCAp,IRL,NML,NTL,L34,W34,NM34,NF34,VB,L12,NF12,NM12,W12,Fosc_Hz,PD_W,V1pk_V,V1rms_V,PN_100k_dBc,PN_1M_dBc,FOM_100k,FOM_1M,cost
26,36,1337,2.793052e-07,1,9,5e-06,1e-05,8,6.220254e-06,4.922819e-05,1,2,3.467824e-07,7.704473e-06,8,1,0.9953394,2.221631e-07,2,10,7.017945e-06,4.980346e+09,0.006276296,1.512891,0.7564455,-89.18744,-115.6982,-175.1556,-181.6663,7.385681e-05
26,37,1338,4.925543e-07,1,7,5e-06,8.898307e-06,10,5.10197e-06,3e-05,1,2,5e-07,6.214168e-06,10,4,0.7726542,5e-07,5,6,7.677117e-06,4.9921e+09,0.001988394,0.2476774,0.1238387,-79.50056,-102.5989,-170.4812,-173.5796,0.2546668
26,38,1339,2.979407e-07,1,7,1e-05,9.1677e-06,10,7.506915e-06,3.099772e-05,1,4,3.560391e-07,7.239246e-06,6,2,0.75,5e-07,1,5,5e-06,3.37134e+09,0.003786363,1.394934,0.6974672,-93.79279,-119.3595,-178.5666,-184.1333,0.09732611
26,39,1340,5e-07,1,7,5.018621e-06,8.09639e-06,6,6.238989e-06,3.821771e-05,1,2,2.654451e-07,8.198263e-06,6,2,0.9247338,4.957287e-07,4,10,5.246561e-06,5.787929e+09,0.003756222,1.001489,0.5007443,-71.94668,-100.2333,-161.4496,-169.7362,0.01819478
26,40,1341,3.553239e-07,2,10,5e-06,8.025627e-06,10,7.986567e-06,3e-05,1,2,4.538103e-07,6.586781e-06,9,1,0.9028354,4.901275e-07,2,9,5.351466e-06,5.930758e+09,0.004799177,1.003764,0.5018821,-88.97178,-114.0451,-177.6223,-182.6956,0.02653438
26,41,1342,4.182852e-07,2,5,7.368682e-06,6.520659e-06,8,9.927169e-06,4.803339e-05,1,1,5e-07,6.44302e-06,6,3,1.163436,1.8e-07,5,8,9.462056e-06,6.484747e+09,0.009126972,1.016941,0.5084703,-85.45891,-111.379,-172.0935,-178.0136,0.07372263
26,42,1343,3.41199e-07,2,7,7.591781e-06,8.89224e-06,8,6.936566e-06,4.026823e-05,1,3,4.513671e-07,5.94771e-06,7,2,1.027152,5e-07,1,5,7.102637e-06,4.171681e+09,0.004689489,1.595615,0.7978076,-97.73377,-120.3143,-183.4287,-186.0092,0.02615605
26,43,1344,3.195698e-07,5,6,5e-06,6.491938e-06,10,1e-05,4.290464e-05,1,2,4.644744e-07,5.350929e-06,5,1,1.2,2.931925e-07,5,9,5.916322e-06,4.753998e+09,0.003515368,0.7504284,0.3752142,-84.09967,-110.8683,-172.1811,-178.9498,0.0008878248
26,44,1345,5e-07,1,6,7.859218e-06,5e-06,9,5.827376e-06,5e-05,1,2,2.842832e-07,8.963212e-06,5,2,0.75,2.306171e-07,5,7,9.599529e-06,5.137856e+09,0.002339829,0.8321366,0.4160683,-73.828,-101.9725,-164.3518,-172.4963,5.509695e-05
26,45,1346,4.265289e-07,3,6,1e-05,5.612726e-06,8,1e-05,4.70613e-05,1,2,5e-07,5e-06,5,1,1.170772,2.824546e-07,3,6,6.412562e-06,5.698148e+09,0.002803132,0.9287417,0.4643709,-85.1916,-111.3456,-175.8298,-181.9839,0.01375553
26,46,1347,2.358362e-07,3,5,9.22604e-06,8.644612e-06,9,5.736504e-06,3e-05,1,2,4.788521e-07,1e-05,7,1,0.9612026,2.670438e-07,1,10,6.646579e-06,6.73021e+09,0.006058673,1.36075,0.6803749,-90.85978,-115.5403,-179.5966,-184.2771,0.1021756
26,47,1348,4.153112e-07,4,6,1e-05,6.5e-06,8,6.706076e-06,3.542724e-05,1,3,4.641304e-07,7.329273e-06,5,1,0.8180773,2.76e-07,2,10,7.602317e-06,4.585767e+09,0.004215744,1.33576,0.6678799,-87.81998,-113.9264,-174.7995,-180.9059,0.004112559
26,48,1349,5e-07,1,5,6.85576e-06,8.620884e-06,8,5e-06,3.821202e-05,1,2,5e-07,9.033677e-06,5,2,1.049641,3.645789e-07,5,9,8.003767e-06,4.929581e+09,0.004457939,0.9380299,0.469015,-76.56209,-104.3877,-163.9269,-171.7526,0.0
26,49,1350,4.516415e-07,1,10,7.021767e-06,9.135558e-06,8,6.700269e-06,3.4112e-05,1,2,2.851181e-07,7.666617e-06,10,5,0.9616163,5e-07,3,10,8.762508e-06,4.231773e+09,0.009293321,1.171856,0.585928,-77.36771,-105.7875,-160.2165,-168.6363,0.01859755
27,0,1351,5e-07,1,10,5e-06,6.296655e-06,10,9.805439e-06,5e-05,1,2,3.26373e-07,9.708114e-06,9,3,1.2,4.298776e-07,1,6,6.093249e-06,4.176315e+09,0.006728831,1.446045,0.7230223,-93.65503,-118.7162,-177.7915,-182.8526,0.02181255
27,1,1352,3.250533e-07,4,9,8.180767e-06,5.103093e-06,10,8.873731e-06,3.294186e-05,1,2,3.212833e-07,8.883812e-06,10,1,0.9886658,2.795745e-07,5,8,8.5e-06,4.820019e+09,0.01402563,1.57172,0.7858601,-91.43826,-117.5491,-173.63,-179.7408,0.1646096
27,2,1353,3.585122e-07,3,5,9.609944e-06,5e-06,7,8.035188e-06,3e-05,1,3,5e-07,8.943723e-06,5,1,1.065961,1.8e-07,3,10,9.797536e-06,4.502874e+09,0.005268039,1.273435,0.6367175,-87.28448,-113.4989,-173.1378,-179.3522,0.00656849
27,3,1354,1.8e-07,3,10,9.310389e-06,5.736716e-06,9,5e-06,3e-05,1,3,3.508991e-07,5.439019e-06,5,1,1.012458,4.264664e-07,2,8,9.953695e-06,5.098821e+09,0.004360612,1.292115,0.6460577,-82.49021,-110.6502,-170.2441,-178.4041,0.0
27,4,1355,4.345977e-07,2,10,5e-06,8.926804e-06,6,9.101294e-06,4.028019e-05,1,2,5e-07,7.846966e-06,5,2,1.2,5e-07,3,8,5e-06,5.213016e+09,0.005827183,1.321143,0.6605717,-91.35157,-115.9454,-178.0388,-182.6326,0.0004910622
27,5,1356,3.964523e-07,3,6,5.235806e-06,7.271185e-06,5,8.690463e-06,3.924064e-05,1,2,4.323416e-07,9.855211e-06,5,1,1.2,3.979973e-07,2,10,6.863304e-06,6.069045e+09,0.005136656,1.322464,0.6612318,-86.43441,-112.5367,-174.99,-181.0923,0.03610334
27,6,1357,3.437516e-07,1,5,5.512922e-06,7.369269e-06,6,1e-05,4.843784e-05,1,2,4.133611e-07,9.521906e-06,7,2,0.8322578,5e-07,4,10,5e-06,4.728918e+09,0.002866973,0.8274142,0.4137071,-72.26951,-100.8757,-161.1905,-169.7967,0.001219038
27,7,1358,5e-07,3,5,5e-06,8.487003e-06,10,6.313935e-06,3e-05,1,2,3.869293e-07,5.739561e-06,8,2,1.123399,5e-07,3,7,7.450714e-06,5.578764e+09,0.006951475,1.251862,0.6259312,-88.90965,-114.3221,-175.4196,-180.832,0.008812562
27,8,1359,5e-07,2,10,1e-05,7.562601e-06,9,6.468102e-06,3e-05,1,3,2.688119e-07,6.631882e-06,8,5,0.75,4.028663e-07,4,8,5e-06,3.685341e+09,0.00961355,1.586019,0.7930095,-83.1621,-110.838,-164.6628,-172.3388,0.0647378
27,9,1360,5e-07,4,5,8.446544e-06,8.044852e-06,9,8.781959e-06,3.213493e-05,1,2,5e-07,5.888546e-06,6,1,0.8557721,4.687759e-07,5,10,5e-06,5.357017e+09,0.003642519,0.6356513,0.3178256,-86.25726,-111.4183,-175.2217,-180.3828,0.002539714
27,10,1361,4.245941e-07,1,5,6.982728e-06,9.10302e-06,10,5.875781e-06,5e-05,1,1,4.31562e-07,1e-05,7,2,0.75,5e-07,3,6,7.515395e-06,7.030088e+09,0.001992277,0.08399584,0.04199792,-70.6934,-91.48772,-164.6391,-165.4334,73.29435
27,11,1362,2.804912e-07,2,5,5e-06,9.960786e-06,7,8.39617e-06,5e-05,1,1,5e-07,8.912007e-06,9,2,0.75,4.78835e-07,3,7,6.197034e-06,6.817355e+09,0.003920195,0.4132003,0.2066001,-80.98836,-105.9697,-171.7276,-176.709,0.1435281
