gen,idx,total_index,WN,LN,WP,LP,MC,CF,RL,FREQ,AMPRF,TEMP,Area,VOUTMAX,POUT_AVG,PIN_AVG,PCE,PIDBM,DELTAVO,FOM1,FOM2,FOM3,cost
-1,35,35,7.54901e-06,9.9842e-07,1.8436e-05,6.13955e-07,3,1,433584,9.2e+08,0.5,27,5.37712e-10,0.392172,3.39555e-07,4.34302e-07,78.1841,-33.6221,0.0025691,437.382,14705.7,37498.1,464.664
-1,36,36,1.76087e-05,2.00387e-07,1.62583e-05,7.91818e-07,6,1,206074,9.2e+08,0.5,27,8.32804e-10,0.229155,2.35798e-07,5.33273e-07,44.2171,-32.7305,0.00107433,144.539,4730.84,20644.7,16633
-1,37,37,9.55488e-06,2.35658e-07,5.95969e-06,6.32916e-07,4,2,364003,9.2e+08,0.5,27,8.12047e-10,0.640858,1.11156e-06,4.11921e-06,26.9847,-23.8519,0.00509778,246.687,5883.94,9181.34,33657.7
-1,38,38,1.36226e-05,5.24321e-07,1.92478e-05,9.36737e-07,5,1,367006,9.2e+08,0.5,27,7.50345e-10,0.233806,1.32073e-07,3.26046e-07,40.5075,-34.8672,0.00151982,135.1,4710.57,20147.4,19796.4
-1,39,39,1.14174e-05,8.59862e-07,1.06402e-05,9.35512e-07,9,3,230779,9.2e+08,0.5,27,1.53954e-09,0.577073,1.40924e-06,2.35122e-06,59.9366,-26.2871,0.00188452,493.389,12969.7,22475,6281.74
-1,40,40,1.90174e-05,5.76068e-07,6.643e-06,8.58122e-07,6,1,290818,9.2e+08,0.5,27,8.33312e-10,0.272106,2.32824e-07,5.39618e-07,43.146,-32.6791,0.00106684,167.473,5472.87,20113,17518
-1,41,41,1.90138e-05,3.34417e-07,1.94784e-05,5.19297e-07,4,2,483396,9.2e+08,0.5,27,8.32947e-10,0.523747,5.59711e-07,1.31117e-06,42.6878,-28.8234,0.00329021,318.927,9192.55,17551.5,17903.3
-1,42,42,1.14414e-05,6.31033e-07,1.39271e-05,3.71924e-07,10,4,86883.1,9.2e+08,0.5,27,1.8248e-09,0.653785,4.86366e-06,7.93013e-06,61.3314,-21.0072,0.00432386,571.985,12015.8,18378.8,5602.02
-1,43,43,8.22616e-06,8.01092e-07,1.7767e-05,9.63987e-07,7,3,439944,9.2e+08,0.5,27,1.34743e-09,0.5762,7.39988e-07,1.09642e-06,67.4913,-29.6002,0.00331721,554.738,16420.4,28497.7,3065.53
-1,44,44,8.56722e-06,8.73148e-07,6.89613e-06,4.77915e-07,5,4,103242,9.2e+08,0.5,27,1.32155e-09,0.661795,4.18903e-06,6.56508e-06,63.8078,-21.8276,0.00516635,602.37,13148.3,19867.6,4491.11
-1,45,45,1.68056e-05,8.08266e-07,1.53861e-05,8.24199e-07,10,4,107699,9.2e+08,0.5,27,1.85253e-09,0.55931,2.84995e-06,3.94603e-06,72.2233,-24.0384,0.00248264,576.23,13851.7,24765.6,1632.44
-1,46,46,4.60826e-06,9.91694e-07,3.72724e-06,8.12859e-07,6,4,12858.2,9.2e+08,0.5,27,1.4152e-09,0.190511,2.72121e-06,1.20823e-05,22.5224,-19.1785,0.00552856,61.207,1173.86,6161.63,39035.3
-1,47,47,1.04421e-05,5.93329e-07,3.67338e-06,9.22975e-07,4,1,432453,9.2e+08,0.5,27,6.19172e-10,0.459316,4.64365e-07,8.67435e-07,53.5331,-30.6176,0.00149171,350.752,10739.2,23380.8,9901.67
-1,48,48,1.70364e-05,5.52051e-07,1.49219e-05,3.94612e-07,4,1,316266,9.2e+08,0.5,27,6.30587e-10,0.385186,4.52994e-07,6.54935e-07,69.1663,-31.838,0.00169751,380.041,12099.8,31412.8,2507.18
-1,49,49,1.2733e-05,7.62712e-07,1.63988e-05,5.60086e-07,6,3,132073,9.2e+08,0.5,27,1.23779e-09,0.573251,2.45611e-06,3.33885e-06,73.5615,-24.764,0.00391592,601.535,14896.4,25985.9,1308.4
0,0,50,3.76661e-06,6.97072e-07,1.72359e-05,6.78904e-07,3,3,163558,9.2e+08,0.5,27,9.28654e-10,0.609112,2.23721e-06,2.75342e-06,81.2519,-25.6013,0.00722288,705.987,18074.2,29673,140.483
0,1,51,1.25854e-05,5.77372e-07,1.27082e-05,5.9158e-07,3,4,189510,9.2e+08,0.5,27,1.12957e-09,0.651301,2.21009e-06,4.60023e-06,48.043,-23.3722,0.00862548,446.352,10432.2,16017.5,13658.2
0,2,52,4.22587e-06,4.48828e-07,1.45882e-05,5.32984e-07,7,2,99723,9.2e+08,0.5,27,1.11934e-09,0.574563,3.26324e-06,4.19686e-06,77.7544,-23.7708,0.00344869,637.278,15148.6,26365.4,524.982
0,3,53,1.60928e-05,5.49261e-07,1.29176e-05,2.77829e-07,8,2,297187,9.2e+08,0.5,27,1.22486e-09,0.569916,1.08084e-06,2.1876e-06,49.4077,-26.6003,0.00225874,401.672,10684.6,18747.7,12668.1
0,4,54,1.62963e-05,5.05743e-07,1.22977e-05,3.46303e-07,7,2,90720.9,9.2e+08,0.5,27,1.125e-09,0.535489,3.11585e-06,4.34029e-06,71.7888,-23.6248,0.00309001,548.371,12955.1,24193.1,1745.35
0,5,55,1.71266e-06,6.60816e-07,1.17472e-05,7.58071e-07,4,2,175129,9.2e+08,0.5,27,8.20074e-10,0.575077,1.85577e-06,2.46256e-06,75.3594,-26.0861,0.00419823,618.201,16126.5,28042.3,929.412
0,6,56,1.44342e-05,5.25576e-07,1.73898e-05,8.94666e-07,10,2,364627,9.2e+08,0.5,27,1.44629e-09,0.497658,6.52802e-07,1.03804e-06,62.8877,-29.8378,0.00118729,446.44,13320.8,26767,4889.52
0,7,57,9.70244e-06,5.70721e-07,7.03211e-06,5.91007e-07,7,5,414301,9.2e+08,0.5,27,1.71939e-09,0.724947,1.25427e-06,5.51397e-06,22.7471,-22.5854,0.00360168,235.234,5312.83,7328.58,38754.2
0,8,58,1.10066e-05,6.84704e-07,8.81952e-06,9.16645e-07,5,1,422535,9.2e+08,0.5,27,7.31241e-10,0.41177,3.75712e-07,5.81613e-07,64.5983,-32.3537,0.00173388,379.439,12276.2,29813.3,4162.36
0,9,59,1.43604e-05,8.18849e-07,7.04801e-06,3.67809e-07,9,4,255150,9.2e+08,0.5,27,1.7287e-09,0.665772,1.71784e-06,4.25684e-06,40.3548,-23.7091,0.00240461,383.254,9086.63,13648.3,19931.9
0,10,60,1.03587e-05,9.40341e-07,1.57558e-05,4.4294e-07,7,1,267547,9.2e+08,0.5,27,9.33439e-10,0.391779,5.435e-07,7.67793e-07,70.7873,-31.1476,0.0011838,395.606,12322.2,31451.8,2020.11
0,11,61,9.79739e-06,8.06897e-07,1.59965e-05,4.24729e-07,4,1,39941.5,9.2e+08,0.5,27,6.29399e-10,0.167213,6.77542e-07,1.94374e-06,34.8577,-27.1136,0.00281951,83.1448,2254.36,13481.9,25143.4
0,12,62,9.23928e-06,2.62152e-07,1.61152e-05,6.2802e-07,3,2,414110,9.2e+08,0.5,27,7.25086e-10,0.576037,7.91289e-07,1.70301e-06,46.4641,-27.6878,0.00566618,381.798,10571.2,18351.5,14850.2
0,13,63,8.02038e-06,5.95689e-07,3.80225e-06,9.36425e-07,4,4,435207,9.2e+08,0.5,27,1.21668e-09,0.703031,1.11706e-06,4.2326e-06,26.3919,-23.7339,0.00394534,264.674,6281.75,8935.24,34349.1
0,14,64,6.37235e-06,8.35551e-07,1.08615e-05,5.74834e-07,4,3,222394,9.2e+08,0.5,27,1.02314e-09,0.647488,1.86404e-06,2.96816e-06,62.8014,-25.2751,0.00543589,580.053,14660.9,22642.7,4927.78
0,15,65,1.67586e-05,6.20631e-07,1.31203e-05,7.69529e-07,8,4,203872,9.2e+08,0.5,27,1.64099e-09,0.611104,1.80559e-06,3.62483e-06,49.8116,-24.4071,0.00316412,434.222,10598.1,17342.6,12382.2
0,16,66,3.76661e-06,5.3876e-07,1.72359e-05,6.78904e-07,3,3,163558,9.2e+08,0.5,27,9.27462e-10,0.61694,2.2965e-06,2.96698e-06,77.4019,-25.2768,0.00757169,681.178,17218,27908.8,577.317
0,17,67,5.63805e-06,3.48796e-07,7.8999e-06,7.12875e-07,7,2,49414.5,9.2e+08,0.5,27,1.1152e-09,0.504273,5.03662e-06,7.87657e-06,63.9443,-21.0366,0.00401799,459.975,9676.32,19188.7,4433.41
0,18,68,1.21184e-05,3.74602e-07,7.11514e-06,6.10548e-07,9,2,92897.2,9.2e+08,0.5,27,1.31777e-09,0.540194,3.07038e-06,5.32139e-06,57.6988,-22.7397,0.00224308,444.613,10110.4,18716.2,7453.58
0,19,69,9.21663e-06,5.26672e-07,1.55564e-06,9.46585e-07,7,2,191054,9.2e+08,0.5,27,1.11265e-09,0.459687,1.03778e-06,3.63561e-06,28.545,-24.3942,0.00119673,187.179,4566.1,9933.05,31871.7
0,20,70,7.71164e-06,5.76068e-07,1.10106e-05,8.58122e-07,6,1,290818,9.2e+08,0.5,27,8.27782e-10,0.420911,5.75729e-07,8.14381e-07,70.6953,-30.8917,0.00166413,424.47,13112.6,31152.9,2046.29
0,21,71,1.55313e-05,8.15553e-07,1.36077e-05,4.77531e-07,6,3,119155,9.2e+08,0.5,27,1.23833e-09,0.569584,2.6885e-06,3.78577e-06,71.016,-24.2185,0.00359992,577.006,13974.2,24534,1955.53
0,22,72,1.74186e-05,5.11453e-07,1.5786e-05,6.17678e-07,5,1,279772,9.2e+08,0.5,27,7.37319e-10,0.295194,2.9072e-07,5.32149e-07,54.6313,-32.7397,0.00144703,230.047,7531.65,25514.2,9222.9
0,23,73,1.65006e-05,6.75248e-07,1.89785e-05,4.80482e-07,4,5,248273,9.2e+08,0.5,27,1.44052e-09,0.650361,1.68332e-06,4.20475e-06,40.0337,-23.7626,0.0082628,371.404,8825.53,13570.2,20219.7
0,24,74,1.89384e-05,3.61313e-07,1.69177e-05,7.78519e-07,3,3,318010,9.2e+08,0.5,27,9.40027e-10,0.571594,1.01301e-06,2.41897e-06,41.8778,-26.1637,0.00649186,341.459,8933.83,15629.7,18595.2
0,25,75,1.66355e-05,4.1662e-07,1.49896e-05,3.85086e-07,3,1,161708,9.2e+08,0.5,27,5.25406e-10,0.353994,7.54585e-07,1.08896e-06,69.2938,-29.6299,0.00266791,349.911,10367.8,29288,2467.02
0,26,76,1.84592e-05,8.09521e-07,7.69012e-06,4.61456e-07,4,1,438684,9.2e+08,0.5,27,6.36983e-10,0.38575,3.23752e-07,4.93628e-07,65.5862,-33.066,0.00125587,360.898,11933.5,30935.7,3769.06
0,27,77,6.22434e-06,3.93369e-07,1.0112e-05,6.23046e-07,7,3,401132,9.2e+08,0.5,27,1.3175e-09,0.680922,1.14258e-06,3.53673e-06,32.3059,-24.514,0.00377266,313.795,7692.36,11297,27766.6
0,28,78,7.19625e-06,6.90732e-07,1.69004e-05,8.24624e-07,7,2,177640,9.2e+08,0.5,27,1.13781e-09,0.507981,1.41865e-06,1.75876e-06,80.6621,-27.5479,0.00199927,584.498,16101.7,31697.5,188.171
0,29,79,1.68393e-05,4.02229e-07,1.19358e-05,3.88692e-07,4,1,416954,9.2e+08,0.5,27,6.22825e-10,0.440676,4.54437e-07,6.86428e-07,66.2032,-31.634,0.00159318,416.164,13164.9,29874.5,3533.23
0,30,80,1.59989e-05,3.17828e-07,1.43384e-05,3.17666e-07,3,2,58701.8,9.2e+08,0.5,27,7.19279e-10,0.538462,4.83025e-06,6.75553e-06,71.5006,-21.7034,0.00973806,549.201,11919.5,22136.2,1822.34
0,31,81,1.71862e-05,9.29057e-07,1.49763e-05,8.63193e-07,8,2,188804,9.2e+08,0.5,27,1.25779e-09,0.434458,9.56351e-07,1.37772e-06,69.4157,-28.6084,0.0019155,430.202,12307.4,28328.1,2428.75
0,32,82,9.01773e-06,8.36336e-07,1.06788e-05,6.9758e-07,8,3,118274,9.2e+08,0.5,27,1.42998e-09,0.589979,2.89573e-06,3.97816e-06,72.7907,-24.0032,0.00276513,612.603,14704.4,24923.6,1490.66
0,33,83,1.94104e-05,6.77052e-07,1.49868e-05,4.44117e-07,6,2,58024.8,9.2e+08,0.5,27,1.0396e-09,0.422519,3.01317e-06,4.19693e-06,71.7945,-23.7707,0.00341832,432.717,10286,24344.4,1743.89
0,34,84,9.25928e-07,8.29492e-07,1.59192e-05,6.21488e-07,5,3,405752,9.2e+08,0.5,27,1.12132e-09,0.638605,9.73294e-07,1.68951e-06,57.608,-27.7224,0.00603378,524.786,14548.3,22781.4,7503.19
0,35,85,9.30498e-06,3.01734e-07,1.631e-05,6.80996e-07,7,2,360866,9.2e+08,0.5,27,1.12783e-09,0.562883,8.64079e-07,1.70285e-06,50.7432,-27.6882,0.00255644,407.439,11281.3,20041.9,11735.3
0,36,86,1.00293e-05,4.83177e-07,8.06512e-06,2.90491e-07,8,4,380662,9.2e+08,0.5,27,1.61438e-09,0.724969,1.36659e-06,6.44065e-06,21.2183,-21.9107,0.00472658,219.43,4807.86,6631.81,40681.1
0,37,87,1.53619e-05,3.68778e-07,1.2381e-05,6.16064e-07,4,2,316120,9.2e+08,0.5,27,8.26585e-10,0.555612,9.62979e-07,2.08842e-06,46.1103,-26.8018,0.00377686,365.457,9794.92,17629,15124
0,38,88,1.49991e-05,6.83818e-07,1.54375e-05,4.46115e-07,3,2,236733,9.2e+08,0.5,27,7.34287e-10,0.531614,1.17864e-06,1.62345e-06,72.6013,-27.8956,0.00402669,550.563,15358.3,28889.9,1537.29
0,39,89,1.28632e-05,8.24358e-07,8.85715e-06,4.8895e-07,4,1,219961,9.2e+08,0.5,27,6.29869e-10,0.395175,6.87526e-07,9.63235e-07,71.3767,-30.1627,0.0018396,402.358,12136.2,30710.9,1856.02
0,40,90,1.66957e-05,4.99779e-07,1.18468e-05,5.85045e-07,4,1,175377,9.2e+08,0.5,27,6.3055e-10,0.299536,4.91239e-07,8.52542e-07,57.6206,-30.6928,0.00198305,246.203,7556.67,25227.9,7496.66
0,41,91,1.48788e-05,4.07859e-07,1.59606e-05,8.23284e-07,4,2,222356,9.2e+08,0.5,27,8.38417e-10,0.501684,1.10905e-06,1.61991e-06,68.4635,-27.9051,0.003217,489.954,13672.2,27252.6,2734.57
0,42,92,8.80548e-06,6.86848e-07,1.48491e-05,6.27653e-07,7,2,326358,9.2e+08,0.5,27,1.13074e-09,0.556982,9.35437e-07,1.50162e-06,62.2953,-28.2344,0.00201575,494.951,13974.7,25090,5155.05
0,43,93,1.3564e-05,8.63983e-07,7.08388e-06,8.82451e-07,9,3,399633,9.2e+08,0.5,27,1.53594e-09,0.600587,8.78489e-07,1.81212e-06,48.4785,-27.4181,0.00153487,415.328,11387.5,18960.7,13338.2
0,44,94,6.14243e-06,7.30308e-07,1.16406e-05,6.72731e-07,3,3,317557,9.2e+08,0.5,27,9.24634e-10,0.648536,1.30743e-06,2.28512e-06,57.2148,-26.4109,0.00730937,529.308,13979.5,21555.5,7720.2
0,45,95,8.42045e-06,3.89701e-07,6.65435e-06,7.74581e-07,3,3,192392,9.2e+08,0.5,27,9.16872e-10,0.656215,2.20698e-06,5.2017e-06,42.4281,-22.8385,0.00691038,397.16,9070.57,13822.5,18123.7
0,46,96,1.00356e-05,4.80053e-07,1.14567e-05,7.85389e-07,8,2,49138.3,9.2e+08,0.5,27,1.22763e-09,0.412259,3.36505e-06,5.27723e-06,63.7654,-22.7759,0.00333793,374.991,8540.78,20717,4509.14
0,47,97,5.64119e-06,5.9361e-07,1.95818e-05,5.55431e-07,4,3,336984,9.2e+08,0.5,27,1.02845e-09,0.62465,1.14455e-06,1.98122e-06,57.7699,-27.0307,0.00623523,514.76,13914.3,22275.4,7414.76
0,48,98,9.53333e-06,6.56274e-07,1.40269e-05,4.49843e-07,8,2,182299,9.2e+08,0.5,27,1.22513e-09,0.567344,1.74162e-06,2.44152e-06,71.3333,-26.1234,0.00227582,577.305,15081.2,26582,1867.8
0,49,99,5.08705e-06,7.13102e-07,8.62581e-06,9.48553e-07,6,3,352359,9.2e+08,0.5,27,1.22362e-09,0.652789,1.18807e-06,2.12148e-06,56.0018,-26.7336,0.00391798,521.484,13941.2,21356.3,8408.96
1,0,100,3.76661e-06,6.97072e-07,1.72359e-05,6.78904e-07,3,3,163558,9.2e+08,0.5,27,9.28654e-10,0.609112,2.23721e-06,2.75342e-06,81.2519,-25.6013,0.00722288,705.987,18074.2,29673,140.483
1,1,101,1.00168e-05,7.40609e-07,1.41444e-05,6.37865e-07,8,2,237078,9.2e+08,0.5,27,1.23288e-09,0.540799,1.21004e-06,1.65211e-06,73.2421,-27.8196,0.00174558,565.019,15718.6,29065.5,1382.49
1,2,102,1.1764e-05,9.8552e-07,1.51562e-05,4.35802e-07,4,2,172409,9.2e+08,0.5,27,8.36398e-10,0.523066,1.56477e-06,2.06548e-06,75.7585,-26.8498,0.00332356,565.268,15177.3,29016.1,854.049
1,3,103,1.49785e-05,6.85822e-07,1.36093e-05,5.28097e-07,6,2,268536,9.2e+08,0.5,27,1.03492e-09,0.532277,1.03893e-06,1.55667e-06,66.7407,-28.078,0.00201598,506.751,14228.6,26731.5,3334.01
1,4,104,6.85496e-06,5.80986e-07,1.43393e-05,5.76766e-07,4,2,164259,9.2e+08,0.5,27,8.24506e-10,0.567392,1.93503e-06,2.43517e-06,79.4619,-26.1347,0.00423849,643.144,16808.4,29623.9,306.708
