gen,idx,total_index,WN,LN,WP,LP,MC,CF,RL,FREQ,AMPRF,TEMP,Area,VOUTMAX,POUT_AVG,PIN_AVG,PCE,PIDBM,DELTAVO,FOM1,FOM2,FOM3,cost
0,1,51,1.58E-05,3.34E-07,1.21E-05,7.76E-07,4,1,285211,9.20E+08,0.5,27,6.29E-10,0.341945,3.88E-07,6.49E-07,59.744,-31.8767,0.0021323,291.418,9289.46,27166.5,6378.87
0,2,52,1.44E-05,8.68E-07,1.23E-05,1.80E-07,4,4,56309.4,9.20E+08,0.5,27,1.23E-09,0.645526,7.23E-06,1.00E-05,72.2071,-19.9962,0.0136516,664.906,13295.6,20596.5,1636.59
0,3,53,3.42E-06,3.74E-07,8.28E-07,3.19E-07,10,1,127095,9.20E+08,0.5,27,1.20E-09,0.533553,2.13E-06,4.78E-06,44.6227,-23.204,0.00100424,339.625,7880.66,14770.1,16303.2
0,4,54,5.18E-06,5.76E-07,1.17E-05,7.12E-07,7,2,221816,9.20E+08,0.5,27,1.12E-09,0.586972,1.53E-06,2.27E-06,67.4733,-26.4493,0.0023912,564.957,14942.7,25457.3,3071.86
0,5,55,1.97E-05,8.07E-07,1.15E-05,9.39E-07,4,2,220782,9.20E+08,0.5,27,8.54E-10,0.439978,8.49E-07,1.28E-06,66.4144,-28.9336,0.00324464,416.831,12060.4,27411.4,3454.26
0,6,56,3.77E-06,5.22E-07,1.72E-05,7.16E-07,4,1,441118,9.20E+08,0.5,27,6.29E-10,0.44301,4.29E-07,5.40E-07,79.4395,-32.6769,0.00190912,502.015,16404.3,37029.1,309.215
0,7,57,1.97E-05,7.96E-07,1.57E-05,8.67E-07,7,2,337617,9.20E+08,0.5,27,1.16E-09,0.461097,6.05E-07,9.00E-07,67.2043,-30.4583,0.00174654,442.033,13463.6,29199,3166.88
0,8,58,4.84E-06,7.63E-07,1.21E-05,5.60E-07,3,3,264995,9.20E+08,0.5,27,9.21E-10,0.66086,1.63E-06,2.71E-06,60.021,-25.6658,0.00749611,565.82,14522.2,21974.7,6239.52
0,9,59,5.18E-06,6.08E-07,1.17E-05,9.64E-07,7,2,221816,9.20E+08,0.5,27,1.13E-09,0.552627,1.34E-06,1.81E-06,74.38,-27.4284,0.00213336,586.347,16082.5,29102,1127.84
0,10,60,3.77E-06,8.01E-07,1.72E-05,7.16E-07,4,2,439944,9.20E+08,0.5,27,8.31E-10,0.562768,7.09E-07,9.45E-07,74.9905,-30.2443,0.00339126,602.007,18207.3,32353.1,1001.91
0,11,61,1.97E-05,9.98E-07,1.84E-05,9.79E-07,5,2,220782,9.20E+08,0.5,27,9.76E-10,0.389091,6.53E-07,8.98E-07,72.6552,-30.4666,0.00331272,403.259,12285.9,31576,1524.05
0,12,62,1.97E-05,7.63E-07,1.57E-05,5.60E-07,7,2,337617,9.20E+08,0.5,27,1.15E-09,0.494277,7.08E-07,1.07E-06,66.4252,-29.7259,0.00137697,468.35,13922.1,28166.6,3450.21
0,13,63,1.68E-05,9.37E-07,1.54E-05,8.35E-07,10,4,107699,9.20E+08,0.5,27,1.86E-09,0.548545,2.74E-06,3.83E-06,71.4738,-24.1669,0.00235518,559.275,13516,24639.6,1829.59
0,14,64,1.97E-05,8.58E-07,1.15E-05,5.19E-07,4,2,220782,9.20E+08,0.5,27,8.46E-10,0.490384,1.07E-06,1.51E-06,71.1129,-28.2236,0.00236371,497.451,14039.9,28630.3,1928.53
0,15,65,1.14E-05,3.74E-07,5.84E-07,3.19E-07,9,1,127095,9.20E+08,0.5,27,1.11E-09,0.248642,4.53E-07,2.30E-06,19.6719,-26.3761,0.000553681,69.7729,1840.33,7401.55,42678.1
0,16,66,1.04E-05,8.73E-07,6.90E-06,5.02E-07,5,4,103242,9.20E+08,0.5,27,1.33E-09,0.644472,3.97E-06,6.28E-06,63.2521,-22.0205,0.0047881,581.494,12804.8,19868.7,4729.71
0,17,67,4.14E-06,8.73E-07,2.91E-06,5.02E-07,8,5,439974,9.20E+08,0.5,27,1.81E-09,0.763233,1.30E-06,3.76E-06,34.6511,-24.253,0.00173131,377.26,9149.68,11988.1,25350.1
0,18,68,1.95E-05,8.01E-07,1.67E-05,9.79E-07,5,2,439944,9.20E+08,0.5,27,9.64E-10,0.457608,4.58E-07,6.97E-07,65.7,-31.5663,0.00237572,428.87,13537.8,29583.9,3724.92
0,19,69,1.85E-05,5.76E-07,6.80E-06,8.58E-07,6,1,290818,9.20E+08,0.5,27,8.33E-10,0.280288,2.47E-07,5.55E-07,44.5345,-32.555,0.00110725,178.061,5796.77,20681.4,16374.9
0,20,70,1.97E-05,7.63E-07,1.15E-05,5.19E-07,4,2,220782,9.20E+08,0.5,27,8.42E-10,0.499195,1.11E-06,1.58E-06,70.4842,-28.027,0.00253679,501.912,14067.1,28179.6,2107.09
